domain,algorithm,variant,fault,group,rule,pool,n_selected,n_relevant,relevance_pct,chance_pct,lift
healthcare,PCMCI,Polynomial degree 3,Attack_3,RHYTHM,std1,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,Polynomial degree 3,Attack_4,RHYTHM,top3,12,3,2,66.67,33.33,2.0
healthcare,PCMCI,Polynomial degree 3,Attack_4,RHYTHM,top5,12,5,2,40.0,33.33,1.2
healthcare,PCMCI,Polynomial degree 3,Attack_4,RHYTHM,top10,12,10,2,20.0,33.33,0.6
healthcare,PCMCI,Polynomial degree 3,Attack_4,RHYTHM,std1,12,1,1,100.0,33.33,3.0
healthcare,PCMCI,Polynomial degree 3,Attack_6,RHYTHM,top3,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,Polynomial degree 3,Attack_6,RHYTHM,top5,12,5,1,20.0,33.33,0.6
healthcare,PCMCI,Polynomial degree 3,Attack_6,RHYTHM,top10,12,10,2,20.0,33.33,0.6
healthcare,PCMCI,Polynomial degree 3,Attack_6,RHYTHM,std1,12,1,0,0.0,33.33,0.0
healthcare,PCMCI,Polynomial degree 3,Attack_9,HYP,top3,12,3,0,0.0,41.67,0.0
healthcare,PCMCI,Polynomial degree 3,Attack_9,HYP,top5,12,5,0,0.0,41.67,0.0
healthcare,PCMCI,Polynomial degree 3,Attack_9,HYP,top10,12,10,3,30.0,41.67,0.72
healthcare,PCMCI,Polynomial degree 3,Attack_9,HYP,std1,12,2,0,0.0,41.67,0.0
healthcare,PCMCI,RBF + Ridge,Attack_1,MI,top3,12,3,2,66.67,25.0,2.67
healthcare,PCMCI,RBF + Ridge,Attack_1,MI,top5,12,5,3,60.0,25.0,2.4
healthcare,PCMCI,RBF + Ridge,Attack_1,MI,top10,12,10,3,30.0,25.0,1.2
healthcare,PCMCI,RBF + Ridge,Attack_1,MI,std1,12,2,2,100.0,25.0,4.0
healthcare,PCMCI,RBF + Ridge,Attack_10,CD,top3,12,3,0,0.0,25.0,0.0
healthcare,PCMCI,RBF + Ridge,Attack_10,CD,top5,12,5,2,40.0,25.0,1.6
healthcare,PCMCI,RBF + Ridge,Attack_10,CD,top10,12,10,3,30.0,25.0,1.2
healthcare,PCMCI,RBF + Ridge,Attack_10,CD,std1,12,2,0,0.0,25.0,0.0
healthcare,PCMCI,RBF + Ridge,Attack_11,RHYTHM,top3,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_11,RHYTHM,top5,12,5,1,20.0,33.33,0.6
healthcare,PCMCI,RBF + Ridge,Attack_11,RHYTHM,top10,12,10,4,40.0,33.33,1.2
healthcare,PCMCI,RBF + Ridge,Attack_11,RHYTHM,std1,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_12,MI,top3,12,3,0,0.0,25.0,0.0
healthcare,PCMCI,RBF + Ridge,Attack_12,MI,top5,12,5,0,0.0,25.0,0.0
healthcare,PCMCI,RBF + Ridge,Attack_12,MI,top10,12,10,2,20.0,25.0,0.8
healthcare,PCMCI,RBF + Ridge,Attack_12,MI,std1,12,3,0,0.0,25.0,0.0
healthcare,PCMCI,RBF + Ridge,Attack_13,CD,top3,12,3,0,0.0,16.67,0.0
healthcare,PCMCI,RBF + Ridge,Attack_13,CD,top5,12,5,1,20.0,16.67,1.2
healthcare,PCMCI,RBF + Ridge,Attack_13,CD,top10,12,10,1,10.0,16.67,0.6
healthcare,PCMCI,RBF + Ridge,Attack_13,CD,std1,12,1,0,0.0,16.67,0.0
healthcare,PCMCI,RBF + Ridge,Attack_14,CD,top3,12,3,0,0.0,25.0,0.0
healthcare,PCMCI,RBF + Ridge,Attack_14,CD,top5,12,5,0,0.0,25.0,0.0
healthcare,PCMCI,RBF + Ridge,Attack_14,CD,top10,12,10,2,20.0,25.0,0.8
healthcare,PCMCI,RBF + Ridge,Attack_14,CD,std1,12,2,0,0.0,25.0,0.0
healthcare,PCMCI,RBF + Ridge,Attack_17,MI,top3,12,3,2,66.67,33.33,2.0
healthcare,PCMCI,RBF + Ridge,Attack_17,MI,top5,12,5,3,60.0,33.33,1.8
healthcare,PCMCI,RBF + Ridge,Attack_17,MI,top10,12,10,3,30.0,33.33,0.9
healthcare,PCMCI,RBF + Ridge,Attack_17,MI,std1,12,3,2,66.67,33.33,2.0
healthcare,PCMCI,RBF + Ridge,Attack_18,CD,top3,12,3,0,0.0,16.67,0.0
healthcare,PCMCI,RBF + Ridge,Attack_18,CD,top5,12,5,0,0.0,16.67,0.0
healthcare,PCMCI,RBF + Ridge,Attack_18,CD,top10,12,10,1,10.0,16.67,0.6
healthcare,PCMCI,RBF + Ridge,Attack_18,CD,std1,12,3,0,0.0,16.67,0.0
healthcare,PCMCI,RBF + Ridge,Attack_2,RHYTHM,top3,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_2,RHYTHM,top5,12,5,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_2,RHYTHM,top10,12,10,2,20.0,33.33,0.6
healthcare,PCMCI,RBF + Ridge,Attack_2,RHYTHM,std1,12,1,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_20,MI,top3,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_20,MI,top5,12,5,1,20.0,33.33,0.6
healthcare,PCMCI,RBF + Ridge,Attack_20,MI,top10,12,10,4,40.0,33.33,1.2
healthcare,PCMCI,RBF + Ridge,Attack_20,MI,std1,12,2,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_3,RHYTHM,top3,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_3,RHYTHM,top5,12,5,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_3,RHYTHM,top10,12,10,3,30.0,33.33,0.9
healthcare,PCMCI,RBF + Ridge,Attack_3,RHYTHM,std1,12,2,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_4,RHYTHM,top3,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_4,RHYTHM,top5,12,5,1,20.0,33.33,0.6
healthcare,PCMCI,RBF + Ridge,Attack_4,RHYTHM,top10,12,10,3,30.0,33.33,0.9
healthcare,PCMCI,RBF + Ridge,Attack_4,RHYTHM,std1,12,2,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_6,RHYTHM,top3,12,3,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_6,RHYTHM,top5,12,5,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_6,RHYTHM,top10,12,10,3,30.0,33.33,0.9
healthcare,PCMCI,RBF + Ridge,Attack_6,RHYTHM,std1,12,2,0,0.0,33.33,0.0
healthcare,PCMCI,RBF + Ridge,Attack_9,HYP,top3,12,3,2,66.67,41.67,1.6
healthcare,PCMCI,RBF + Ridge,Attack_9,HYP,top5,12,5,2,40.0,41.67,0.96
healthcare,PCMCI,RBF + Ridge,Attack_9,HYP,top10,12,10,3,30.0,41.67,0.72
healthcare,PCMCI,RBF + Ridge,Attack_9,HYP,std1,12,3,2,66.67,41.67,1.6
industrial,PCMCI,Linear / Ridge,Fault_11,,top3,52,3,1,33.33,1.92,17.33
industrial,PCMCI,Linear / Ridge,Fault_11,,top5,52,5,1,20.0,1.92,10.4
industrial,PCMCI,Linear / Ridge,Fault_11,,top10,52,10,1,10.0,1.92,5.2
industrial,PCMCI,Linear / Ridge,Fault_11,,std1,52,5,1,20.0,1.92,10.4
industrial,PCMCI,Linear / Ridge,Fault_14,,top3,52,3,0,0.0,1.92,0.0
industrial,PCMCI,Linear / Ridge,Fault_14,,top5,52,5,0,0.0,1.92,0.0
industrial,PCMCI,Linear / Ridge,Fault_14,,top10,52,10,1,10.0,1.92,5.2
industrial,PCMCI,Linear / Ridge,Fault_14,,std1,52,3,0,0.0,1.92,0.0
industrial,PCMCI,Linear / Ridge,Fault_4,,top3,52,3,1,33.33,1.92,17.33
industrial,PCMCI,Linear / Ridge,Fault_4,,top5,52,5,1,20.0,1.92,10.4
industrial,PCMCI,Linear / Ridge,Fault_4,,top10,52,10,1,10.0,1.92,5.2
industrial,PCMCI,Linear / Ridge,Fault_4,,std1,52,1,1,100.0,1.92,52.0
industrial,PCMCI,Linear / Ridge,Fault_5,,top3,52,3,1,33.33,1.92,17.33
industrial,PCMCI,Linear / Ridge,Fault_5,,top5,52,5,1,20.0,1.92,10.4
industrial,PCMCI,Linear / Ridge,Fault_5,,top10,52,10,1,10.0,1.92,5.2
industrial,PCMCI,Linear / Ridge,Fault_5,,std1,52,3,1,33.33,1.92,17.33
industrial,PCMCI,Linear / Ridge,Fault_7,,top3,52,3,1,33.33,1.92,17.33
industrial,PCMCI,Linear / Ridge,Fault_7,,top5,52,5,1,20.0,1.92,10.4
industrial,PCMCI,Linear / Ridge,Fault_7,,top10,52,10,1,10.0,1.92,5.2
industrial,PCMCI,Linear / Ridge,Fault_7,,std1,52,3,1,33.33,1.92,17.33
industrial,PCMCI,Polynomial degree 3,Fault_11,,top3,52,3,1,33.33,1.92,17.33
industrial,PCMCI,Polynomial degree 3,Fault_11,,top5,52,5,1,20.0,1.92,10.4
industrial,PCMCI,Polynomial degree 3,Fault_11,,top10,52,10,1,10.0,1.92,5.2
industrial,PCMCI,Polynomial degree 3,Fault_11,,std1,52,5,1,20.0,1.92,10.4
industrial,PCMCI,Polynomial degree 3,Fault_14,,top3,52,3,0,0.0,1.92,0.0
